MMNC380,747.00
SSBC023,100.00
MCUC380,468.10
GTSZ280,56.08
SQAC023,100.00
MHGC180,BDL
SFIC280,0
MSEC320,1.05
MCAC380,7.32
GBDZ280,627
MCOC380,1.63
SQBC023,100.00
MNAC380,0.60
MMOC380,6.8
GOMZ405,51.25
SFDC280,0
BSNZ210,NEGATIVE
GGCC642,2.30
MNIC380,6.89
MZNC380,735.50
SSCC023,100.00
MPBC380,2.18
MSSC380,14505.00
SFHC280,0
ITPZ380,5.91
MALC380,1611.00
SQCC023,94.70
SFFC280,BDL
MPPC380,25790.00
MMGC380,1.28
ITKZ380,3.80
MBOC380,45.98
GCVZ160,26.18
GCCC100,28.5
MKKC380,31550.00
MFEC380,3687.50
GGRC642,1.20
MCHC380,7.32
SFBC280,BDL
BECZ481,<3
I34Z080,4449.89
MASC320,BDL
MCDC380,BDL
GCSC643,7
GMSC440,43.92
MOIST,43.92
